Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
3021 /gen_204,10,60,53,70,4.61,0.00%,.4,0.16,388.0
3027 /adcount%7C2.0%7C5303%7C2821256%7C0%7C5%7CAdId=6730306;BnId=6;ct=281799688;st=33918;adcid=1;itime=972442530;reqtype=5;;key=OTCM%2520OTCQX%2520U.S.%2520Premier%2520Common%2520Stock%2520OTC%2520Markets%2520Group%2520Inc.,10,33,28,48,5.79,0.00%,.4,0.08,196.0
3023 /pagead/gen_204,10,59,52,70,5.45,0.00%,.4,0.18,451.0
3024 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208432;sz=125x125;click=http%3A//adserver.adtechus.com/adlink%7C5303%7C2799333%7C0%7C6%7CAdId%3D6848292%3BBnId%3D1%3Bitime%3D972442426%3Bkey%3DOTCM%2520OTCQX%2520U%2ES%2E%2520Premier%2520Common%2520Stock%2520OTC%2520Markets%2520Group%2520Inc%2E%3Blink%3D;ord=972442426,10,75,60,93,9.19,0.00%,.4,1.47,3668.3
3026 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208361;sz=120x60;ord=972442530,10,74,68,86,4.98,0.00%,.4,1.65,4112.3
3025 /ad/N84001.325081OTCMARKETS.COM/B8443801.114868597;sz=1x1;ord=972442530,10,165,134,243,31.68,0.00%,.4,0.43,1075.0
3030 /viewad/4601119/Logo_LogoOpenAccount_BROK_Logo_P_NO_Desktop_120x60.gif,10,47,35,100,17.97,0.00%,.4,1.34,3329.0
3028 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1401.0.js.120x60/Insert_Random_Number,10,215,208,235,7.56,0.00%,.4,0.72,1804.1
3029 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1403.0.js.TEXT/Insert_Random_Number,10,112,102,129,8.58,0.00%,.4,0.73,1810.0
3017 /addyn%7C3.0%7C5303%7C2799335%7C0%7C225%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444819,10,583,573,601,8.30,0.00%,.4,0.44,1113.6
3018 /addyn%7C3.0%7C5303%7C2821255%7C0%7C5%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444835,10,527,288,605,114.87,0.00%,.4,0.72,1834.5
3020 /addyn%7C3.0%7C5303%7C2821254%7C0%7C5%7CADTECH;loc=300;key=OTCM%20OTCQX%20U.S.%20Premier%20Common%20Stock%20OTC%20Markets%20Group%20Inc.;group=%5Bgroup%5D;misc=1431972444869,10,582,569,618,13.21,0.00%,.4,0.78,2003.0
"3031 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1401.0.js.120x60/1431972443**;17,0,0;1600x900x1;http%3A_@2F_@2Fwww.otcmarkets.com_@2Fstock_@2FOTCM_@2Fquote;;;",10,124,110,179,19.59,0.00%,.4,0.64,1610.6
3033 /usersync,10,0,0,2,0.54,100.00%,.4,0.84,2089.0
3032 /pagead/gen_204,10,72,55,180,36.27,0.00%,.4,0.18,451.0
3038 /getuid,10,324,0,643,266.67,40.00%,.4,1.01,2581.2
3039 /pixel.gif,10,29,25,37,3.76,0.00%,.4,0.13,318.0
3041 /usersync,10,504,224,878,181.68,0.00%,.4,0.60,1508.9
3042 /pixel.gif,10,35,27,61,9.81,0.00%,.4,0.13,318.0
3036 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1403.0.js.TEXT/Insert_Random_Number,10,116,104,160,20.80,0.00%,.4,0.74,1813.6
3035 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1401.0.js.120x60/Insert_Random_Number,10,118,102,186,23.14,0.00%,.4,0.74,1814.6
3037 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.3330.1.120x60.1431972443.L78135554e7db1f584.5932/1431972445525.299**;;,10,119,102,197,27.86,0.00%,.4,0.19,472.0
3043 /adscores/g.pixel,10,418,233,684,125.13,0.00%,.4,0.52,1280.7
"3040 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1403.0.js.TEXT/1431972443**;17,0,0;1600x900x1;http%3A_@2F_@2Fwww.otcmarkets.com_@2Fstock_@2FOTCM_@2Fquote;;;",10,124,109,190,24.47,0.00%,.4,0.62,1514.3
3045 /pixel/6633/,10,178,133,285,49.90,0.00%,.4,0.32,794.0
3034 /j,10,469,332,737,123.44,0.00%,.4,1.05,2602.5
3046 /usersync,10,47,34,60,9.87,0.00%,.4,0.05,120.0
"3044 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1401.0.js.120x60/1431972443**;17,0,0;1600x900x1;http%3A_@2F_@2Fwww.otcmarkets.com_@2Fstock_@2FOTCM_@2Fquote;;;",10,129,111,169,18.72,0.00%,.4,0.67,1636.5
3050 /pixel.gif,10,41,25,102,21.95,0.00%,.4,0.13,318.0
3047 /server/ads.js,10,0,0,1,0.50,100.00%,.4,0.86,2089.0
3052 /pixel.gif,10,42,29,61,9.89,0.00%,.4,0.13,318.0
3049 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.4293.1.120x60.1431972444.L78135554e7db1f584.1337/1431972445960.8667**;;,10,121,106,196,25.77,0.00%,.4,0.19,472.0
3048 /creatives/8bec9b10/ads/120x60_Trend_HD/120x60_Trend_HD_time_v2.asp,10,257,219,398,53.48,0.00%,.4,0.97,2379.0
3053 /ddm/adj/N6126.131803.TURNINC./B8623427.116734319;sz=728x90;click=http://r.turn.com/r/formclick/id/Q_csmWZcAGkNRQAA4wUBAA/url/;ord=7566148969708713795,10,96,79,182,29.41,0.00%,.4,2.00,4865.0
"3051 /embed/8bec9b10877d5d7fd7c0fb6e6a631357/1403.0.js.TEXT/1431972443**;17,0,0;1600x900x1;http%3A_@2F_@2Fwww.otcmarkets.com_@2Fstock_@2FOTCM_@2Fquote;;;",10,144,113,303,58.10,0.00%,.4,0.62,1511.7
3055 /server/ddc.htm,10,36,23,54,11.84,0.00%,.4,2.37,5737.0
3056 /pixel.gif,10,101,59,184,45.47,0.00%,.4,0.13,318.0
3057 /usersync,10,633,350,1290,248.07,100.00%,.4,1.99,4894.5
3054 /879366/dfa7banner_flash_inpage_rendering_lib_200_78.js,10,116,83,207,38.01,0.00%,.4,14.73,35577.0
3059 /getuid,10,116,68,293,64.78,100.00%,.4,1.64,3964.9
3066 /partner/651395.png,10,74,55,95,14.83,0.00%,.4,0.20,491.4
3071 /match,10,41,0,98,33.85,20.00%,.4,0.33,802.8
3063 /rum,10,103,72,197,37.42,0.00%,.4,0.50,1213.0
3058 /AdServer/Pug,10,92,68,178,36.78,0.00%,.4,0.35,848.0
3073 /setuid,10,66,31,219,60.91,0.00%,.4,0.21,512.0
3074 /mapuser,10,3,0,30,8.89,100.00%,.4,0.87,2092.3
3060 /pixel,10,316,261,429,53.16,0.00%,.4,0.75,1822.0
3062 /ad,10,185,126,287,53.77,0.00%,.4,0.29,698.0
3065 /r/dd/id/L2NzaWQvMS9jaWQvMjY0OTcyNDEvdC8w/url/http%3A%2F%2Fd.agkn.com%2Fpixel%2F2189%2F%3Fsync%3D103%26che%3D%5Bcachebuster%5D%26uuid%3D%24!%7BTURN_UUID%7D,10,0,0,1,0.49,100.00%,.4,0.87,2089.0
3061 /tap.php,10,104,60,362,87.51,0.00%,.4,0.35,848.0
3079 /e/turn_sync.xgi,10,98,63,159,39.77,0.00%,.4,0.46,1117.0
3085 /csx,10,289,217,439,89.87,0.00%,.4,0.63,1529.0
3081 /adscores/g.js,10,261,55,400,100.29,0.00%,.4,0.20,483.0
3078 /w/1.0/sd,10,177,112,232,40.01,0.00%,.4,0.31,733.0
3070 /r/dm/mkt/73/mpid//mpuid/3940877190822064720,10,0,0,1,0.49,100.00%,.4,0.87,2089.0
3069 /r/dm/mkt/44/mpid//mpuid/3940877190822064720,10,189,139,245,33.64,0.00%,.4,0.20,473.0
3072 /r/dd/id/L2NzaWQvMS9jaWQvMjM2NTYzMjkvdC8y/url/http%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D470%26dpuuid%3D%24!%7BTURN_UUID%7D,10,341,198,535,114.58,0.00%,.4,0.69,1655.4
3068 /r/du/id/L2NzaWQvMS9zcGlkLzU/url/http%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D375%26dpuuid%3DPARTNER_UUID,10,214,151,270,41.86,0.00%,.4,0.69,1655.3
3084 /turn_user_sync,10,270,141,348,77.96,0.00%,.4,0.41,997.4
3076 /r/du/id/L2NzaWQvMS9tcGlkLzM3NDkzMTAz/mpuid/OtherStore/url/https%3A%2F%2Fanalytics.twitter.com%2Fi%2Fadsct%3Fp_user_id%3D%24!%7BTURN_UUID%7D%26p_id%3D38520,10,203,122,289,52.23,0.00%,.4,0.55,1313.0
3086 /t.gif,10,252,134,383,88.48,0.00%,.4,1.10,2607.0
3064 /merge,10,0,0,1,0.49,100.00%,.4,0.89,2089.0
3073 /redir/,10,137,108,192,25.47,0.00%,.4,0.25,593.7
3082 /sync/img,10,275,151,426,82.91,0.00%,.4,0.89,2107.1
3088 /upi/pid/0Xf30sUm,10,704,233,1613,527.46,0.00%,.4,0.62,1468.6
3077 /pixel,10,271,161,411,93.05,0.00%,.5,0.70,1544.0
3091 /e/v1/pixel/networks/1/partners/55784/users/3940877190822064720,10,70,36,157,45.39,0.00%,.5,0.16,341.0
3090 /,10,794,110,5126,1470.30,0.00%,.5,0.43,926.8
3087 /idsync/ex/receive,10,217,111,411,91.52,10.00%,.5,0.55,1197.8
3092 /2620894/04302015_728x90_C4L_LearnMore.swf,10,109,65,225,53.83,0.00%,.5,13.16,28346.0
3075 /site/4499,10,35,0,167,51.88,80.00%,.5,0.95,2030.9
3080 /partner,10,124,77,191,43.52,0.00%,.5,0.56,1205.3
3083 /atx/sync/turn2/turn2/3940877190822064720,10,2221,140,18922,5583.05,10.00%,.4,0.49,1129.2
3094 /getuid,10,141,2,329,82.89,90.00%,.5,1.64,3687.5
3089 /pixel,10,302,167,411,74.78,10.00%,.5,1.03,2317.8
3095 /usersync,10,692,1,1522,394.64,100.00%,.5,2.09,4614.3
3093 /pixel.gif,10,38,27,76,13.44,0.00%,.5,0.15,318.0
3112 /e/xrefid.xgi,10,37,30,48,4.41,0.00%,.5,0.26,548.0
3104 /ibs:dpid=470&dpuuid=3940877190822064720,10,76,57,188,37.74,0.00%,.5,0.56,1181.4
3096 /r/bd,10,33,0,87,40.01,60.00%,.5,0.69,1440.2
"3097 /r/dd/id/L2NzaWQvMS9jaWQvMzMxMDg2My90LzI/cat/,,17772/id/L2NzaWQvMS9jaWQvMzMxMTIxNy90LzI/cat/064/dpuid/007001015390003276955",10,128,70,469,116.91,0.00%,.5,0.27,569.0
3099 /iframe/2649/,10,111,103,146,11.85,0.00%,.5,0.43,912.0
3103 /ibs:dpid=375&dpuuid=3940877190822064720,10,69,58,89,9.23,0.00%,.5,0.56,1181.5
3100 /pagead/gen_204,10,59,52,80,8.18,0.00%,.5,0.22,451.0
3067 /bh/rtset,10,197,182,243,16.86,0.00%,.5,0.43,900.0
3111 /turn_user_sync,10,117,100,130,10.37,0.00%,.5,0.40,832.8
3108 /getuid,10,471,342,511,49.95,0.00%,.5,1.37,2909.2
3102 /cms/v1,10,156,1,245,66.36,10.00%,.5,0.56,1164.7
3114 /pixel.gif,10,31,26,47,5.96,0.00%,.5,0.15,318.0
3115 /usersync,10,415,245,603,104.10,0.00%,.5,0.72,1509.1
3107 /r/du/id/L2NzaWQvMS9tcGlkLzE4MDM3MTM5/mpuid/7589550c-6f5e-4400-97ce-7f1a76938626,10,77,66,96,7.49,0.00%,.5,0.23,467.0
3105 /r/du/id/L2NzaWQvMS9tcGlkLzI3MDg5NDgx/mpuid/be5a2451-d18d-11e4-a390-005056a201dc,10,76,68,88,6.74,0.00%,.5,0.23,467.0
3106 /pixel/2189/,10,104,100,126,7.20,0.00%,.5,0.33,683.2
3101 /r/du/id/L2NzaWQvMS9zcGlkLzM/url/http%3A%2F%2Fs.thebrighttag.com%2Fcs%3Fbtt%3DBr6TO1Bbh96z5Wgm50qJid0ZoRacN1K9AhL7k-USeb8%26tp%3DrWc5RFi%26uid%3DPARTNER_UUID,10,164,124,247,34.24,0.00%,.5,0.43,878.0
3098 /r/dd/id/L2NzaWQvMS9jaWQvMTYyNjUzMzQvdC8y/dpuid/007001015390003276955,10,83,70,119,14.31,0.00%,.5,0.23,467.0
3113 /r/du/id/L2NzaWQvMS9tcGlkLzI2NDIyMjM5/mpuid/-4984067616568889114,10,84,67,140,20.75,0.00%,.5,0.23,467.0
3117 /pixel.gif,10,37,27,56,8.69,0.00%,.5,0.15,318.0
3116 /activeview,10,117,99,170,20.85,0.00%,.5,0.24,503.0
3110 /r/du/id/L2NzaWQvMS9tcGlkLzMwNTU3ODEz/mpuid/TA192e8e27-d18e-11e4-a72e-00163edb0cbc,10,80,70,110,10.73,0.00%,.5,0.23,467.0
3109 /r/du/id/L2NzaWQvMS9tcGlkLzI0MTMwODU4/rnd/,10,90,72,140,18.88,0.00%,.5,0.23,467.0
3120 /cs,10,75,51,130,27.66,0.00%,.5,0.17,354.0
3118 /r/cms/id/0/ddc/1/pid/43/uid/,10,80,60,99,13.33,0.00%,.5,0.23,467.0
3121 /adscores/g.pixel,10,365,202,477,91.38,0.00%,.5,0.62,1280.3
3123 /pixel.gif,10,31,25,43,4.74,0.00%,.5,0.16,318.0
3122 /usersync,10,421,279,579,81.28,0.00%,.5,0.74,1510.1
3119 /r/du/id/L2NzaWQvMS9tcGlkLzMzOTA0ODEz/mpuid/NAX2848342571552136568,10,95,67,144,26.80,0.00%,.5,0.23,467.0
3125 /adscores/g.pixel,10,360,208,505,86.27,0.00%,.5,0.63,1279.8
3126 /pixel/6633/,10,160,122,220,25.22,0.00%,.5,0.40,794.0
3129 /pixel.gif,10,36,27,70,12.00,0.00%,.5,0.16,318.0
3130 /pixel.gif,10,33,26,66,11.27,0.00%,.5,0.16,318.0
3133 /content/canAuthor.json,10,96,74,164,24.84,0.00%,.5,0.24,470.0
3131 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.4293.10_101.120x60.1431972444.L78135554e7db1f584.1337/1431972445960.8667**;101%7C1%7C1;,10,0,0,1,0.50,100.00%,.5,1.06,2089.0
3134 /content/getPageText.json,10,53,41,74,10.79,0.00%,.5,2.15,4255.0
3135 /common/IsExternalUser,10,48,41,62,7.58,0.00%,.5,0.21,415.0
3132 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.3330.10_101.120x60.1431972443.L78135554e7db1f584.5932/1431972445525.299**;101%7C1%7C1;,10,213,205,227,7.48,0.00%,.5,0.24,472.0
3137 /__ptq.gif,10,33,29,46,4.64,0.00%,.5,0.14,275.0
3136 /__utm.gif,10,53,50,58,2.24,0.00%,.5,0.21,408.0
3138 /pixel.gif,10,30,26,38,3.50,0.00%,.5,0.16,318.0
3139 /pixel.gif,10,30,25,34,3.03,0.00%,.5,0.16,318.0
3140 /pagead/gen_204,10,56,51,69,4.71,0.00%,.5,0.23,451.0
3141 /activeview,10,107,101,120,6.12,0.00%,.5,0.25,503.0
3142 /pixel.gif,10,31,26,45,5.02,0.00%,.5,0.16,318.0
3143 /pixel.gif,10,30,25,33,2.36,0.00%,.5,0.16,318.0
3144 /pixel.gif,10,31,26,44,5.42,0.00%,.5,0.16,318.0
3145 /pixel.gif,10,29,25,37,3.56,0.00%,.5,0.16,318.0
3146 /pixel.gif,10,33,25,51,8.12,0.00%,.5,0.16,318.0
3147 /pixel.gif,10,31,25,49,7.56,0.00%,.5,0.16,318.0
3148 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.3330.101.120x60.1431972443.L78135554e7db1f584.5932/1431972445525.299**;101%7C0%7C5;,10,108,102,121,6.69,0.00%,.5,0.24,472.0
3149 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.4293.101.120x60.1431972444.L78135554e7db1f584.1337/1431972445960.8667**;101%7C0%7C5;,10,121,102,175,25.93,0.00%,.5,0.24,472.0
3150 /pixel.gif,10,30,25,35,3.23,0.00%,.5,0.16,318.0
3151 /pixel.gif,10,36,28,70,12.48,0.00%,.5,0.16,318.0
3152 /pixel.gif,10,34,27,66,10.85,0.00%,.5,0.16,318.0
3153 /pixel.gif,10,31,24,46,7.05,0.00%,.5,0.16,318.0
3154 /pixel.gif,10,30,25,39,5.31,0.00%,.5,0.16,318.0
3155 /pixel.gif,10,29,25,37,3.35,0.00%,.5,0.16,318.0
3156 /pixel.gif,10,29,27,35,2.15,0.00%,.5,0.16,318.0
3157 /pixel.gif,10,32,27,49,6.05,0.00%,.5,0.16,318.0
3158 /pixel.gif,10,29,25,44,5.16,0.00%,.5,0.16,318.0
3159 /pixel.gif,10,29,27,35,2.55,0.00%,.5,0.16,318.0
3160 /pixel.gif,10,28,25,33,2.55,0.00%,.5,0.16,318.0
3161 /pixel.gif,10,33,28,46,5.88,0.00%,.5,0.16,318.0
3162 /pixel.gif,10,28,26,34,2.39,0.00%,.5,0.16,318.0
3163 /pixel.gif,10,33,28,48,6.56,0.00%,.5,0.16,318.0
3164 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.3330.101.120x60.1431972443.L78135554e7db1f584.5932/1431972445525.299**;101%7C0%7C25;,10,111,103,121,6.47,0.00%,.5,0.24,472.0
3165 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.4293.101.120x60.1431972444.L78135554e7db1f584.1337/1431972445960.8667**;101%7C0%7C25;,10,110,105,119,3.79,0.00%,.5,0.24,472.0
3166 /pixel.gif,10,39,26,64,11.27,0.00%,.5,0.16,318.0
3167 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.4293.101.120x60.1431972444.L78135554e7db1f584.1337/1431972445960.8667**;101%7C0%7C1;,10,108,101,118,6.05,0.00%,.5,0.24,472.0
3169 /pixel.gif,10,42,28,95,19.64,0.00%,.5,0.16,318.0
3168 /view/8bec9b10877d5d7fd7c0fb6e6a631357/1401.3330.101.120x60.1431972443.L78135554e7db1f584.5932/1431972445525.299**;101%7C0%7C2;,10,112,104,137,11.89,0.00%,.5,0.24,472.0
3170 /pixel.gif,10,31,26,48,5.80,0.00%,.5,0.16,318.0
3171 /activeview,10,106,97,132,9.10,0.00%,.5,0.26,503.0
3172 /activeview,10,104,99,120,6.07,0.00%,.5,0.26,503.0
3173 /activeview,10,107,101,123,5.99,0.00%,.5,0.26,503.0
3174 /activeview,10,110,99,153,15.21,0.00%,.5,0.26,503.0
3175 /marketplaces/otcqx,410,13799,203,154485,30576.67,0.24%,.2,11.30,57074.1
3176 /addyn/3.0/5303.1/3209808/0/16/ADTECH;loc=100;target=_blank;misc=%5BTIMESTAMP%5D;rdclick=%5BCLICKMACRO%5D,410,802,0,15329,1185.86,24.39%,.2,0.24,1225.1
3177 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=key1+key2+key3+key4;grp=%5Bgroup%5D;misc=1431974023749,410,906,85,7324,849.34,0.00%,.2,0.49,2505.8
3179 /otciq/ajax/getAggregateWombatTradesForAllTierGroup.json,410,2217,0,374964,26043.12,47.32%,.2,0.40,2009.4
3178 /gtm.js,410,884,139,7107,852.25,0.00%,.2,3.18,16182.0
3181 /adi/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=%5Btimestamp%5D,410,786,67,10732,1195.86,0.00%,.2,0.94,4800.0
3183 /common/CountSecuritiesByTierGroup.json,410,1031,0,10484,1323.12,1.46%,.2,0.15,782.0
3182 /otciq/ajax/getMarketTotals.jsonx,410,599,0,9286,932.82,3.17%,.2,0.11,566.0
3187 /pixel;r=1706859472;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431974026270;tzo=240;ref=;url=http%3A%2F%2Fwww.otcmarkets.com%2Fmarketplaces%2Fotcqx;ogl=,410,1014,96,23160,1507.69,0.00%,.2,0.09,474.0
3180 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=974023613,410,2079,338,30872,3245.07,0.00%,.2,0.20,1021.0
3186 /dc.js,410,2580,87,73658,7133.03,0.00%,.2,3.18,16255.7
3185 /analytics/1431974100000/142654.js,410,2805,0,125239,10097.28,14.88%,.2,3.88,19839.6
3188 /gen_204,410,834,56,27372,1899.62,0.00%,.2,0.08,388.0
3189 /__utm.gif,410,1378,53,63637,5680.25,0.00%,.2,0.08,427.7
3184 /content.otcmarkets.com/quote_search/list.gz,364,21523,0,1183107,75700.37,1.37%,.2,54.95,317267.2
3191 /ads/fif.jsp,363,2939,0,170789,11046.83,5.23%,.2,0.18,1064.5
3190 /ads/fif.jsp,363,1696,0,55133,6112.32,5.23%,.2,0.18,1016.8
3192 /ads/fif.jsp,363,1758,0,58066,5435.33,3.86%,.2,0.17,999.0
3195 /addyn%7C3.0%7C5303%7C2799309%7C0%7C170%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026949,363,376,0,9892,716.37,67.22%,.2,0.31,1791.3
3197 /usersync,363,7783,0,89065,14338.76,100.00%,.2,0.75,4360.4
3196 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208811;sz=300x250;click=http%3A//adserver.adtechus.com/adlink%7C5303%7C2799309%7C0%7C170%7CAdId%3D6848284%3BBnId%3D1%3Bitime%3D974024659%3Bkey%3Dkey1%2520key2%2520key3%2520key4%3Blink%3D;ord=974024659,363,918,1,10446,1644.12,0.55%,.2,0.93,5389.2
3198 /getuid,363,3300,0,16813,3586.89,41.05%,.2,0.54,3119.6
3199 /ads/studio/cached_libs/modernizr_2.8.3_ec185bb44fe5e6bf7455d6e8ef37ed0e_no-classes.js,363,1048,102,14130,1309.40,0.55%,.2,0.80,4656.8
3200 /usersync,363,3232,0,21622,2715.76,18.46%,.2,0.32,1857.2
3201 /pagead/js/lidar.js,361,1010,2,10403,1140.80,0.55%,.2,3.87,22696.0
3193 /addyn%7C3.0%7C5303%7C2799310%7C0%7C170%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026930,361,1793,0,12350,1512.25,3.32%,.2,0.19,1145.4
3194 /addyn%7C3.0%7C5303%7C2799330%7C0%7C225%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026937,361,1201,0,5868,618.98,1.11%,.2,0.18,1062.2
3202 /adscores/g.pixel,361,2305,191,12681,2051.49,45.98%,.2,0.41,2407.0
3205 /usersync,360,2046,0,18992,2583.84,100.00%,.2,0.66,3958.3
3206 /adperf%7C2.0%7C5303%7C2799330%7C0%7C225%7CAdId=6768114;BnId=2;ct=1863761344;st=513161;ku=0;ccid=1;scid=1045932;iid=0;zcid=17390;subnid=1;camnid=5303;camsubnid=1;bnnr=24311686;ctlen=869;,360,760,0,9712,1174.48,14.72%,.2,0.08,450.2
3204 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208811;sz=300x250;click=http%3A//adserver.adtechus.com/adlink%7C5303%7C2799310%7C0%7C170%7CAdId%3D6848284%3BBnId%3D1%3Bitime%3D974024624%3Bkey%3Dkey1%2520key2%2520key3%2520key4%3Blink%3D;ord=974024624,360,451,1,15040,1015.44,0.56%,.2,0.90,5386.8
3203 /4601119/OE_RichOffer_BROK_Offer_P_O_Desktop_300x250.swf,360,635,0,7592,677.71,0.56%,.2,4.28,25463.9
3209 /getuid,360,2392,0,12781,2074.66,42.50%,.2,0.54,3221.6
3208 /pixel/6633/,360,1626,116,15117,1909.92,10.83%,.2,0.18,1053.6
3210 /ads/studio/cached_libs/modernizr_2.8.3_ec185bb44fe5e6bf7455d6e8ef37ed0e_no-classes.js,360,434,1,4869,557.39,0.56%,.2,0.78,4656.6
3211 /usersync,360,2861,0,19730,2307.26,12.78%,.2,0.30,1768.7
3212 /usersync,360,486,0,9628,930.00,4.44%,.2,0.03,206.1
3213 /adscores/g.pixel,360,2483,0,22925,2354.33,9.72%,.2,0.25,1505.7
3214 /4601119/OE_FC_RET_Guidance_P_NO_Desktop_300x250.swf,360,515,0,8635,824.61,0.56%,.2,4.65,27706.4
3215 /pixel/6633/,360,1417,0,21013,1991.23,11.67%,.2,0.18,1072.2
3207 /j,360,1428,1,10231,1266.11,0.56%,.2,0.42,2501.5
3217 /i/0RpqGPYQWx_1432393692.html,360,735,0,9134,1251.69,14.72%,.2,0.23,1373.3
3218 /pixel.gif,360,892,0,21089,1798.57,15.00%,.2,0.10,583.2
3219 /usersync,360,1158,0,7630,1615.43,100.00%,.2,0.58,3483.7
3220 /ct/creative_add_on.js,360,757,0,9220,1286.74,14.72%,.2,0.36,2149.9
3222 /pixel.gif,360,520,0,8207,895.13,0.56%,.2,0.05,326.4
3223 /getuid,360,2400,0,19089,2924.10,42.22%,.2,0.49,2943.0
3221 /adi/N5092.158901.DATAXU/B8439703.114097533;dcopt=anid;sz=728x90;click=http://i.w55c.net/cl,360,552,1,16320,1168.98,0.56%,.2,0.74,4389.4
3224 /surly.js,360,1217,28,120884,6439.89,0.83%,.2,0.28,1697.4
3225 /usersync,360,3123,0,19182,3100.90,18.61%,.2,0.30,1821.4
3227 /ct/cms-2c.html,360,372,0,4015,522.83,11.67%,.2,0.43,2605.1
3231 /pixel/smt,360,2,0,536,28.46,100.00%,.2,0.31,1842.2
3228 /adscores/g.pixel,360,2568,198,22286,2732.33,14.44%,.2,0.27,1623.0
3226 /viewad/1885707/MINI-2726_Convertible_BRAND_728x90_ban_150209100_ff.gif,360,546,33,18222,1206.87,0.56%,.2,4.65,27852.1
3229 /a/n/292/2532.js,360,328,1,3154,342.46,0.56%,.2,0.26,1585.3
3230 /sync,360,1798,0,21955,2524.26,14.72%,.2,0.13,756.9
3232 /red/usync,360,812,0,6505,1021.48,14.72%,.2,0.13,791.8
3233 /pixel/6633/,360,1370,137,11222,1491.31,28.33%,.2,0.25,1486.3
3234 /sync,360,437,0,9378,930.84,14.72%,.2,0.10,577.0
3236 /ct/0_0_0Cmvg0Z1IT_2532/us/0/1/0/0/0/0/728/90/242/292/0/pixel.gif,360,743,0,10684,1210.92,14.72%,.2,0.06,351.3
3235 /usersync,360,808,0,16928,1574.32,3.06%,.2,0.03,179.3
3237 /content/canAuthor.json,360,884,0,13168,1489.78,0.56%,.2,0.10,623.9
3238 /1/c816f66e51,360,837,0,9306,1163.50,14.72%,.2,0.08,496.0
3239 /content/getPageText.json,360,474,0,7257,705.38,2.22%,.2,0.54,3214.4
3243 /content/getPageText.json,359,515,0,10076,896.42,1.39%,.2,0.73,4374.1
3242 /content/getPageText.json,359,425,0,10548,726.32,0.56%,.2,0.33,1998.6
3240 /content/getPageText.json,359,378,0,4198,534.16,0.84%,.2,0.29,1720.1
3241 /common/IsExternalUser,359,382,0,6908,630.12,1.39%,.2,0.10,591.7
3245 /__ptq.gif,359,703,0,20289,1401.46,14.48%,.2,0.09,536.8
3244 /__utm.gif,359,600,1,20928,1588.92,0.56%,.2,0.07,434.3
3247 /pixel.gif,359,537,0,24188,1924.61,4.46%,.2,0.07,397.3
3246 /activeview,359,554,55,8465,877.23,0.00%,.2,0.08,503.0
3248 /pixel.gif,359,429,0,7007,640.62,0.56%,.2,0.05,326.4
3249 /pagead/gen_204,359,426,52,13287,879.36,0.00%,.2,0.08,451.0
3250 /activeview,359,559,54,16581,1044.46,0.00%,.2,0.08,503.0
3251 /pixel.gif,358,441,0,21333,1233.73,0.56%,.2,0.05,326.4
3252 /pixel.gif,358,403,0,14971,1048.09,0.56%,.2,0.05,326.4
